"",Total Safe,Semi-Critical,Critical,Over-Exploited
"",Annual,,,
"",Annual Name of Extractable Annual,Annual,Annual,
S.No.,Extractable District Resource of % Assessed Extractable Resource,Extractable % Resource %,Extractable Resource,% Resource
"",Units (in mcm),(in mcm),(in mcm),(in mcm)
"",(in mcm),,,
"",Ahmednaga,36.6,,27.6
1,1528.88 466.88,30.54 560.66,422.27,79.07 5.17
"",r,7,,2
"",,15.3,,
2,Akola 368.57 312.12,84.69 56.44,,
"",,1,,
3,Amravati 778.22 383.78,49.31 231.93 29.8,,20.8162.52
"",,,,8
4,Aurangabad 1125.55 1076.42,95.64 49.12 4.36,,
5,Beed 1234.58 1234.58,100,,
6,Bhandara 872.73 872.73,100,,
"",,27.1,,10.7
7,Buldhana 863.21 536.04,62.1 234.24,,92.93
"",,4,,7
8,Chandrapur 1111.38 1111.38,100,,
9,Dhule 692.25 692.25,100,,
10,Gadchiroli 1014.27 1014.27,100,,
11,Gondia 620.5 620.5,100,,
12,Hingoli 977.79 977.79,100,,
"",,69.1,,13.4
13,Jalgaon 1369.88 237.66,17.35 947.59,,184.63
"",,7,,8
14,Jalna 803.51 803.51,100,,
15,Kolhapur 1277.94 1277.94,100,,
16,Latur 669.24 669.24,100,,
17,Mumbai 14.78 14.78,100,,
18,Mumbai Sub 67.96,67.96 100,,
"",Total Safe,Semi-Critical,Critical,Over-Exploited
"",Annual,,,
"",Annual Name of Extractable Annual,Annual,Annual,
S.No.,Extractable District Resource of % Assessed Extractable Resource,Extractable % Resource %,Extractable Resource,% Resource
"",Units (in mcm),(in mcm),(in mcm),(in mcm)
"",(in mcm),,,
19,Nagpur 970.81 970.81,100,,
20,Nanded 1193.2 1193.2,100,,
21,Nandurbar 490.6 490.6,100,,
"",,22.4,,17.8
22,Nashik 1897.71 1133.76,59.74 425.97,337.98,
"",,5,,1
23,Osmanabad 846.83 846.83,100,,
24,Palghar 207.54 207.54,100,,
25,Parbhani 829.06 829.06,100,,
"",,30.7,,
26,Pune 1804.59 1107.45,61.37 555.12,142.02,7.87
"",,6,,
27,Raigad 361.38 361.38,100,,
28,Ratnagiri 387.9 387.9,100,,
29,Sangli 1317.41 1203.87,91.38 113.54 8.62,,
"",,24.1,,
30,Satara 1046.98 794.39,75.87 252.59,,
"",,3,,
31,Sindhudurg 221.68 221.68,100,,
"",,,,14.1
32,Solapur 1388.55 302.28,21.77 890.13 64.1,,196.14
"",,,,3
33,Thane 163.37 163.37,100,,
34,Wardha 848.83 848.83,100,,
35,Washim 599.44 599.44,100,,
36,Yawatmal 1180.34 1180.34,100,,
"",,13.8,,
"",Total 31147.44 25212.56,80.95 4317.33,902.27,2.9 715.28 2.3
"",,6,,
