Sl.,State,State,State,District,Assessment Unit,Total,Recharge,Recharge,Recharge,Recharge,Recharge,Total,Total Natural,Annual,Irrigation,Industrial,Domestic,Total,Annual GW,Net Ground,Stage of,Categorization
No,code,District,District,,Name,Geographical,Worthy,from,from Other,from,from Other,Annual,Discharges,Extractable,Use (Ham),Use (Ham),Use (Ham),Extraction,Allocation,Water,Ground,(OE/Critical/
"",,Code,Block,,,Area,Area,Rainfall-,Sources-,Rainfall-,Sources-,Ground,(Ham),Ground,,,,(Ham),for,Availability,Water,Semi critical/
"",,,Code,,,,,Monsoon,Monsoon,Non-,Non-,Water,,Water,,,,,Domestic,for future,Extraction,Safe)
"",,,,,,,,,,Monsoon,Monsoon,(Ham),,Resource,,,,,Use as on,use  (Ham),(%),
"",,,,,,,,,,,,Recharge,,(Ham),,,,,2025  (Ham),,,
15,MH,MH02,MH020100,Akola,Akola,99521.87,99521.87,3642.7,242.7,54.4,795.9,4735.8,288.9,4446.9,2109.7,0.2,522.1,2632,564.1,1814.9,59.2,safe
16,MH,MH02,MH020200,Akola,Akot,80449.23,80449.23,3641.4,134.1,53.2,820.1,4648.8,304.3,4344.5,2677.5,0,138,2815.4,192.8,1529.1,64.8,safe
17,MH,MH02,MH020300,Akola,Balapur,67013.08,67013.08,3882.6,164.2,21,651.5,4719.5,317.5,4402,2440.5,0.3,268.3,2709.1,268.9,1701,61.5,safe
18,MH,MH02,MH020400,Akola,Barsi Takli,68347.37,68347.37,4601.3,368,57.8,1080.6,6107.7,463.3,5644.4,3312.1,0,719.1,4031.3,719.1,1613.2,71.4,semi_critical
19,MH,MH02,MH020500,Akola,Murtizapur,76798.03,76798.03,4119.6,309.9,7.2,1095.9,5532.6,293.4,5239.2,3233.1,0.1,244.4,3477.6,257,1761.6,66.4,safe
20,MH,MH02,MH020600,Akola,Patur,59873.3,59873.3,4861.4,293.6,9,1150.9,6314.9,373.6,5941.4,3522.3,0,228.4,3750.7,228.4,2196.8,63.1,safe
21,MH,MH02,MH020700,Akola,Telhara,62161.99,62161.99,4100.5,167.8,4.8,3305.4,7578.5,740.2,6838.3,4248.8,0,134.3,4383.1,145.3,2490.2,64.1,safe
22,MH,MH03,MH030100,Amravati,Achlapur,63812,63812,4764.5,322,143.3,2766.2,7996,747.9,7248.1,5583.2,0,424,6007.2,425.3,2029.4,82.9,semi_critical
23,MH,MH03,MH030200,Amravati,Amravati,80309,80309,5751.7,317.3,116.6,1427.7,7613.3,578.3,7035,4315.9,0,426.1,4741.9,443.2,2293.1,67.4,safe
24,MH,MH03,MH030300,Amravati,Anjangaon Surji,52089,52089,2338,111.6,105,2882.9,5437.4,383,5054.4,2558.7,0,97.9,2656.7,111.9,2397.8,52.6,safe
25,MH,MH03,MH030400,Amravati,Bhatkuli,57991,57991,346.2,13.2,10.1,41.7,411.2,20.6,390.6,185,0,28.9,213.8,831.8,176.8,54.7,safe
26,MH,MH03,MH030500,Amravati,Chandur Bazar,66563,66563,4710.8,266.4,32.5,1673.8,6683.5,486.8,6196.6,6904.4,0,369.9,7274.3,369.9,1403.3,117.4,over_exploited
27,MH,MH03,MH030600,Amravati,Chandur Railway,47062,47062,3930.7,225.8,134.7,1043.6,5334.8,323.5,5011.4,2585.9,0,601.3,3187.2,601.3,1989.7,63.6,safe
28,MH,MH03,MH030700,Amravati,Chikhaldara,31728,31728,2353.9,196.2,23.9,644.9,3218.8,248.2,2970.6,1693,0,154.4,1847.4,154.4,1192.2,62.2,safe
29,MH,MH03,MH030800,Amravati,Daryapur,77689,77689,0,0,0,0,0,0,0,0,0,0,0,189.8,0,,salinity
30,MH,MH03,MH030900,Amravati,Dhamangaon,59692,59692,4770,159.5,187.1,1076.9,6193.5,452.5,5741,3273.8,0,464.1,3737.9,464.1,2003.1,65.1,safe
"",,,,,Railway,,,,,,,,,,,,,,,,,
31,MH,MH03,MH031000,Amravati,Dharni,39180,39180,2744,173.6,0,933.6,3851.2,226.6,3624.7,1659.3,0,207.6,1866.9,207.6,1765.3,51.5,safe
32,MH,MH03,MH031100,Amravati,Morshi,70106,70106,5437.9,937.3,13.9,3112.3,9501.3,620.2,8881.1,6982.5,0,402.9,7385.4,402.9,1681.4,83.2,semi_critical
33,MH,MH03,MH031200,Amravati,Nandgaon,70595,70595,5490.9,371.6,261.1,1312.2,7435.7,372.1,7063.6,4655.4,0,442.7,5098,442.7,2165.5,72.2,semi_critical
34,MH,MH03,MH031300,Amravati,Tiwsa,53891,53891,4472.2,365.6,115.5,4080.2,9033.5,483.7,8549.8,5298.2,0,231.8,5529.9,231.8,3117.1,64.7,safe
35,MH,MH03,MH031400,Amravati,Warud,68532,68532,6383.6,1126.7,84.5,3487.9,11082.7,1027.5,10055.2,11779.7,0,358.2,12137.9,358.2,36.5,120.7,over_exploited
36,MH,MH04,MH040100,Aurangabad,Aurangabad,147407.25,147407.25,8278.3,772.7,442.9,4337.2,13831,691.5,13139.5,8275.3,0,665.5,8940.8,665.5,4198.7,68,safe
