18,BM,BM-108,Solapur,584.0 584.0,0,584.0,11327.0 26106.0 0,37433.0,0,37433.0,402.9 1022.1 0,1425.0,1398.6 333.3 0,1731.9,1801.5,1355.4,0,3156.9
19,BM,BM-109,Solapur,603.3 603.3,0,603.3,7453.0 18891.0 0,26344.0,0,26344.0,454.5 1184.0 0,1638.5,437.4 217.7 0,655.1,892.0,1401.7,0,2293.6
20,BM,BM-11,Osmanabad,898.8 898.8,0,898.8,1663.0 20146.0 0,21809.0,2610,24419.0,184.4 2233.5 0,2417.9,22.3 495.4 0,517.7,206.7,2728.8,0,2935.5
21,BM,BM-11,Pune,624.0 624.0,624.0,624.0,884.5 11291.0 0,12175.4,10705,22880.0,73.9 906.6 0,980.6,151.4 323.1 0,474.4,225.3,1229.7,0,1455.0
22,BM,BM-110,Solapur,0 769.7,0,769.7,0 14997.0 0,14997.0,0,14997.0,0 1210.3 0,1210.3,446.7 333.6 0,780.3,446.7,1544.0,0,1990.6
23,BM,BM-111,Solapur,0 584.0,0,584.0,0 17021.0 0,17021.0,0,17021.0,0 666.4 0,666.4,0 463.5 0,463.5,0,1129.9,0,1129.9
24,BM,BM-112,Solapur,0 547.6,0,547.6,0 31716.0 0,31716.0,0,31716.0,0 1149.2 0,1149.2,0 487.0 0,487.0,0,1636.2,0,1636.2
25,BM,BM-112,Sangli,617.3 617.3,0,617.3,581.0 580.0 0,1161.0,0,1161.0,42.7 42.6 0,85.2,22.6 28.7 0,51.2,65.2,71.2,0,136.5
26,BM,BM-113,Sangli,441.2 441.2,0,441.2,20064.0 5595.0 0,25659.0,0,25659.0,1054.2 294.0 0,1348.2,1544.9 386.7 0,1931.5,2599.1,680.6,0,3279.7
27,BM,BM-114,Sangli,441.2 441.2,0,441.2,20113.0 2456.0 0,22569.0,0,22569.0,1056.8 112.7 0,1169.5,4033.6 708.4 0,4742.0,5090.4,821.1,0,5911.5
28,BM,BM-115,Solapur,0 547.6,0,547.6,0 11814.0 0,11814.0,676,12490.0,0 795.0 0,795.0,0 411.8 0,411.8,0,1206.8,0,1206.8
29,BM,BM-115,Sangli,497.9 497.9,0,497.9,2431.0 3733.0 0,6164.0,0,6164.0,141.7 220.3 0,362.0,315.0 155.0 0,470.0,456.8,375.2,0,832.0
30,BM,BM-116,Solapur,547.6 547.6,0,547.6,13598.0 24242.0 0,37840.0,0,37840.0,915.1 1631.3 0,2546.4,533.2 498.3 0,1031.5,1448.3,2129.6,0,3577.9
31,BM,BM-116,Sangli,497.9 617.3,0,581.6,3798.0 8892.0 0,12690.0,0,12690.0,224.1 629.7 0,853.8,281.2 105.7 0,386.9,505.3,735.4,0,1240.8
32,BM,BM-117,Sangli,497.9 616.9,0,559.3,6510.6 6956.4 0,13467.0,0,13467.0,308.9 446.3 0,755.2,1136.6 404.5 0,1541.2,1445.5,850.8,0,2296.3
33,BM,BM-117,Solapur,0 547.6,0,547.6,0 19710.0 0,19710.0,0,19710.0,0 714.2 0,714.2,0 522.5 0,522.5,0,1236.7,0,1236.7
34,BM,BM-118,Sangli,617.3 617.3,0,617.3,27102.2 10874.8 0,37977.0,0,37977.0,1990.0 698.2 0,2688.2,1608.5 797.9 0,2406.3,3598.5,1496.0,0,5094.5
35,BM,BM-119,Sangli,617.3 617.3,0,617.3,6897.5 7994.5 0,14892.0,0,14892.0,506.5 439.5 0,945.9,608.7 201.0 0,809.6,1115.1,640.4,0,1755.6
36,BM,BM-119,Solapur,0 584.0,0,584.0,0 34460.0 0,34460.0,0,34460.0,0 1349.2 0,1349.2,0 987.6 0,987.6,0,2336.8,0,2336.8
37,BM,BM-12,Pune,713.6 713.6,713.6,713.6,11994.2 14755.8 0,26750.0,0,26750.0,951.4 1182.7 0,2134.0,2309.8 428.7 0,2738.5,3261.1,1611.4,0,4872.5
38,BM,BM-120,Sangli,0 617.3,0,617.3,0 6811.0 0,6811.0,0,6811.0,0 500.1 0,500.1,0 151.6 0,151.6,0,651.8,0,651.8
39,BM,BM-121,Sangli,617.3 617.3,0,617.3,8928.0 23064.0 0,31992.0,0,31992.0,655.6 1693.5 0,2349.1,331.0 634.5 0,965.5,986.6,2328.0,0,3314.5
40,BM,BM-122,Sangli,0 617.3,0,617.3,0 34385.0 0,34385.0,0,34385.0,0 2497.9 0,2497.9,0 1240.8 0,1240.8,0,3738.8,0,3738.8
41,BM,BM-123,Sangli,617.3 617.3,0,617.3,138.4 45392.7 0,45531.0,0,45531.0,8.9 3333.0 0,3341.9,82.2 1544.2 0,1626.5,91.1,4877.2,0,4968.4
42,BM,BM-129,Solapur,0 782.2,0,782.2,0 8876.0 0,8876.0,0,8876.0,0 863.1 0,863.1,61.7 172.3 0,234.0,61.7,1035.4,0,1097.0
43,BM,BM-13,Pune,457.1 457.1,457.1,457.1,0 10380.0 0,10380.0,0,10380.0,0 623.7 0,623.7,229.2 219.5 0,448.6,229.2,843.2,0,1072.4
44,BM,BM-130,Solapur,0 782.2,0,782.2,0 2477.0 0,2477.0,0,2477.0,0 162.2 0,162.2,0 44.4 0,44.4,0,206.6,0,206.6
45,BM,BM-131,Solapur,0 782.2,0,782.2,0 3213.0 0,3213.0,0,3213.0,0 210.3 0,210.3,0 56.9 0,56.9,0,267.2,0,267.2
46,BM,BM-132,Solapur,0 769.7,0,769.7,0 945.0 0,945.0,0,945.0,0 75.7 0,75.7,0 34.5 0,34.5,0,110.1,0,110.1
47,BM,BM-133,Solapur,0 782.2,0,782.2,0 22213.0 0,22213.0,0,22213.0,0 1794.4 0,1794.4,0 296.1 0,296.1,0,2090.5,0,2090.5
48,BM,BM-134,Solapur,0 782.2,0,782.2,0 18105.0 0,18105.0,0,18105.0,0 1472.8 0,1472.8,0 322.0 0,322.0,0,1794.8,0,1794.8
49,BM,BM-135,Solapur,0 782.2,0,782.2,0 2323.0 0,2323.0,0,2323.0,0 197.4 0,197.4,0 60.0 0,60.0,0,257.5,0,257.5
50,BM,BM-136,Solapur,0 782.2,0,782.2,0 17785.0 0,17785.0,0,17785.0,0 1413.7 0,1413.7,0 341.6 0,341.6,0,1755.3,0,1755.3
51,BM,BM-137,Solapur,0 782.2,0,782.2,0 13443.0 0,13443.0,0,13443.0,0 703.8 0,703.8,0 190.8 0,190.8,0,894.6,0,894.6
52,BM,BM-138,Solapur,0 782.2,0,782.2,0 36380.0 0,36380.0,0,36380.0,0 3483.6 0,3483.6,0 632.0 0,632.0,0,4115.6,0,4115.6
53,BM,BM-139,Solapur,0 769.7,0,769.7,0 34595.0 0,34595.0,0,34595.0,0 3309.6 0,3309.6,391.3 489.7 0,881.0,391.3,3799.3,0,4190.6
54,BM,BM-14,Ahmednagar,574.0 574.0,574.0,574.0,11838.0 9029.0 0,20867.0,2960,23827.0,823.5 628.1 0,1451.6,1348.8 233.0 0,1581.9,2172.3,861.2,0,3033.5
55,BM,BM-15,Ahmednagar,574.0 574.0,574.0,574.0,0 37110.0 0,37110.0,4587,41697.0,0 2581.6 0,2581.6,0 765.9 0,765.9,0,3347.5,0,3347.5
56,BM,BM-16,Ahmednagar,574.0 574.0,574.0,574.0,16077.0 5937.0 0,22014.0,7750,29764.0,1118.4 413.0 0,1531.4,715.0 137.8 0,852.8,1833.4,550.8,0,2384.2
57,BM,BM-17,Pune,713.6 713.6,713.6,713.6,0 19858.2 0,19858.2,4282,24140.0,0 1910.0 0,1910.0,659.2 462.2 0,1121.3,659.2,2372.1,0,3031.3
58,BM,BM-18,Pune,457.1 457.1,457.1,457.1,4153.6 17746.4 0,21900.0,0,21900.0,208.0 1066.4 0,1274.4,235.4 1245.1 0,1480.5,443.4,2311.4,0,2754.8
59,BM,BM-19,Pune,624.0 624.0,624.0,624.0,8234.5 11885.5 0,20120.0,0,20120.0,683.4 993.6 0,1677.0,494.9 287.4 0,782.3,1178.3,1281.0,0,2459.3
60,BM,BM-2,Osmanabad,837.4 837.4,0,837.4,115.0 13726.0 0,13841.0,9782,23623.0,11.9 1423.0 0,1435.0,14.6 462.1 0,476.7,26.5,1885.1,0,1911.6
61,BM,BM-2,Pune,760.8 760.8,760.8,760.8,619.8 11601.4 0,12221.3,8159,20380.0,49.1 801.6 0,850.7,675.7 93.2 0,768.9,724.7,894.8,0,1619.5
62,BM,BM-20,Pune,624.0 624.0,624.0,624.0,15975.5 11534.5 0,27510.0,0,27510.0,1113.0 826.5 0,1939.5,645.5 356.1 0,1001.7,1758.5,1182.6,0,2941.1
63,BM,BM-21,Pune,624.0 624.0,624.0,624.0,1791.4 23738.7 0,25530.0,0,25530.0,117.9 1984.6 0,2102.4,355.9 358.3 0,714.2,473.8,2342.8,0,2816.6
64,BM,BM-22,Pune,624.0 624.0,624.0,624.0,0 21080.0 0,21080.0,0,21080.0,0 1762.3 0,1762.3,188.2 571.9 0,760.1,188.2,2334.2,0,2522.4
65,BM,BM-23,Pune,624.0 624.0,624.0,624.0,0 21830.0 0,21830.0,0,21830.0,0 1825.0 0,1825.0,145.8 507.7 0,653.5,145.8,2332.7,0,2478.5
66,BM,BM-24,Pune,1118.5 1118.5,1118.5,1118.5,0 26800.0 0,26800.0,0,26800.0,0 2756.7 0,2756.7,18.7 221.0 0,239.6,18.7,2977.6,0,2996.3
67,BM,BM-25,Pune,624.0 624.0,624.0,624.0,0 19870.0 0,19870.0,0,19870.0,0 1661.1 0,1661.1,126.3 326.2 0,452.5,126.3,1987.4,0,2113.7
68,BM,BM-26,Pune,457.1 457.1,457.1,457.1,21111.9 10648.1 0,31760.0,0,31760.0,1268.6 639.8 0,1908.5,552.6 544.8 0,1097.4,1821.3,1184.6,0,3005.9
69,BM,BM-27,Pune,457.1 457.1,457.1,457.1,0 20284.6 0,20284.6,2375,22660.0,0 1015.8 0,1015.8,224.6 580.7 0,805.3,224.6,1596.4,0,1821.0
70,BM,BM-28,Ahmednagar,516.0 516.0,516.0,516.0,17352.0 0.0 0,17352.0,0,17352.0,931.2 0 0,931.2,1041.6 0.0 0,1041.6,1972.8,0,0,1972.8
71,BM,BM-29,Ahmednagar,516.0 516.0,516.0,516.0,2465.0 19948.0 0,22413.0,4596,27009.3,152.6 1234.6 0,1387.2,885.4 435.6 0,1321.0,1037.9,1670.2,0,2708.2
72,BM,BM-3,Pune,760.8 760.8,760.8,760.8,3955.4 14769.8 0,18725.2,8025,26750.0,261.2 1401.1 0,1662.2,610.5 322.5 0,933.0,871.6,1723.5,0,2595.2
73,BM,BM-3,Osmanabad,837.4 837.4,0,837.4,3203.0 15702.0 0,18905.0,4618,23523.0,332.1 1627.9 0,1960.0,67.5 378.3 0,445.8,399.5,2006.2,0,2405.8
74,BM,BM-30,Ahmednagar,516.0 516.0,516.0,516.0,2206.0 19859.0 0,22065.0,4858,26923.0,100.2 1057.0 0,1157.2,191.4 277.9 0,469.3,291.7,1334.9,0,1626.5
75,BM,BM-31,Ahmednagar,516.0 516.0,516.0,516.0,0 25401.0 0,25401.0,581,25981.9,0 1572.1 0,1572.1,0 446.1 0,446.1,0,2018.2,0,2018.2
76,BM,BM-32,Ahmednagar,556.0 556.0,556.0,556.0,0 26760.0 0,26760.0,10360,37119.8,0 1796.7 0,1796.7,0 585.4 0,585.4,0,2382.2,0,2382.2
77,BM,BM-33,Ahmednagar,516.0 516.0,516.0,516.0,1159.0 22893.1 6688.9,30741.0,0,30741.0,71.2 1416.9 414.0,1902.0,325.5 219.5 113.4,658.4,396.6,1636.4,527.4,2560.4
78,BM,BM-34,Pune,457.1 457.1,457.1,457.1,16750.0 0.0 0,16750.0,0,16750.0,1006.5 0 0,1006.5,766.2 0.0 0,766.2,1772.7,0,0,1772.7
S.no,Basin,Watershed,District,Rainfall (mm),,,Total Geographical Area (ha),,,,Ground Water Recharge (ham),,,,,,,
"",,,,,,,Recharge Worthy Area (ha),,Hilly Area,Total,Rainfall Recharge,,Recharge from other sorces,,Total,,,
"",,,,C NC,PQ,Total,C NC PQ,Total,,,C NC PQ,Total,C NC PQ,Total,C,NC,PQ,Total
79,BM,BM-35,Pune,457.1 457.1,457.1,457.1,17159.3 11140.7 0,28300.0,0,28300.0,1031.1 669.4 0,1700.5,896.2 159.1 0,1055.2,1927.2,828.5,0,2755.8
80,BM,BM-36,Pune,615.8 615.8,615.8,615.8,0 19300.0 0,19300.0,0,19300.0,0 1190.3 0,1190.3,418.9 481.0 0,899.9,418.9,1671.3,0,2090.2
81,BM,BM-37,Pune,615.8 615.8,615.8,615.8,0 15300.0 0,15300.0,0,15300.0,0 1013.1 0,1013.1,224.4 198.7 0,423.1,224.4,1211.8,0,1436.2
82,BM,BM-38,Pune,1118.5 1118.5,1118.5,1118.5,789.5 7969.8 0,8759.3,7031,15790.0,81.2 819.8 0,901.0,97.1 13.4 0,110.5,178.3,833.2,0,1011.5
83,BM,BM-39,Pune,1118.5 1118.5,1118.5,1118.5,0 13111.8 0,13111.8,5938,19050.0,0 1348.7 0,1348.7,0 79.7 0,79.7,0,1428.4,0,1428.4
84,BM,BM-4,Pune,760.8 760.8,760.8,760.8,1609.0 17071.0 0,18680.0,0,18680.0,121.8 1082.1 0,1203.9,278.4 565.6 0,844.1,400.2,1647.7,0,2047.9
85,BM,BM-4 A,Osmanabad,837.4 837.4,0,837.4,1172.0 5664.0 0,6836.0,913,7749.0,120.8 587.2 0,708.0,24.6 126.0 0,150.6,145.5,713.2,0,858.6
86,BM,BM-40,Pune,1118.5 1118.5,1118.5,1118.5,0 9518.2 0,9518.2,8592,18110.0,0 979.1 0,979.1,0 114.9 0,114.9,0,1094.0,0,1094.0
87,BM,BM-41,Pune,1118.5 1118.5,1118.5,1118.5,2554.5 6698.5 0,9253.0,9447,18700.0,262.8 689.0 0,951.8,371.5 86.7 0,458.2,634.2,775.7,0,1410.0
88,BM,BM-42,Pune,615.8 615.8,615.8,615.8,0 16287.8 0,16287.8,2302,18590.0,0 1104.1 0,1104.1,0 41.9 0,41.9,0,1146.0,0,1146.0
89,BM,BM-43,Pune,1484.1 1484.1,1484.1,1484.1,1977.7 7615.7 0,9593.4,11357,20950.0,340.6 1049.2 0,1389.8,527.2 141.7 0,668.8,867.8,1190.9,0,2058.6
90,BM,BM-44,Pune,1484.1 1484.1,1484.1,1484.1,0 7372.7 0,7372.7,22417,29790.0,0 1015.7 0,1015.7,247.8 38.9 0,286.6,247.8,1054.6,0,1302.4
91,BM,BM-45,Pune,1484.1 1484.1,1484.1,1484.1,0 12562.5 0,12562.5,11338,23900.0,0 1730.7 0,1730.7,194.9 210.4 0,405.3,194.9,1941.1,0,2136.0
92,BM,BM-46,Pune,615.8 615.8,615.8,615.8,0 27290.0 0,27290.0,0,27290.0,0 2226.6 0,2226.6,1418.7 580.7 0,1999.4,1418.7,2807.4,0,4226.1
93,BM,BM-47,Ahmednagar,556.0 556.0,556.0,556.0,0 36259.0 0,36259.0,0,36259.0,0 2434.5 0,2434.5,0 745.2 0,745.2,0,3179.7,0,3179.7
94,BM,BM-47,Solapur,0 614.6,0,614.6,0 8532.0 0,8532.0,0,8532.0,0 350.9 0,350.9,0 61.3 0,61.3,0,412.2,0,412.2
95,BM,BM-48,Pune,464.2 464.2,464.2,464.2,25713.9 905.4 7760.7,34380.0,0,34380.0,1241.4 36.9 374.7,1652.9,3166.6 62.3 71.9,3300.8,4408.0,99.2,446.5,4953.7
96,BM,BM-49,Pune,464.2 464.2,464.2,464.2,7995.8 14476.4 3967.8,26440.0,0,26440.0,386.0 829.5 227.4,1442.9,2129.3 304.9 34.7,2468.9,2515.3,1134.4,262.1,3911.8
97,BM,BM-5,Pune,760.8 760.8,760.8,760.8,1630.9 4129.1 0,5760.0,0,5760.0,129.0 323.2 0,452.3,514.1 277.5 0,791.6,643.1,600.7,0,1243.8
98,BM,BM-5,Ahmednagar,574.0 574.0,574.0,574.0,7854.0 8943.0 0,16797.0,1073,17870.0,546.4 622.1 0,1168.5,377.1 172.4 0,549.5,923.5,794.5,0,1718.0
99,BM,BM-5,Osmanabad,837.4 837.4,0,837.4,830.0 13767.0 0,14597.0,1917,16514.0,86.1 1427.3 0,1513.3,18.4 282.5 0,300.9,104.5,1709.8,0,1814.2
100,BM,BM-50,Pune,464.2 464.2,464.2,464.2,10737.2 11097.0 4531.1,26365.4,2425,28790.0,615.3 535.7 259.6,1410.6,2049.5 228.7 56.3,2334.5,2664.7,764.5,315.9,3745.1
101,BM,BM-51,Pune,615.8 615.8,615.8,615.8,11131.5 14068.5 0,25200.0,0,25200.0,908.2 1147.9 0,2056.1,996.1 181.9 0,1177.9,1904.3,1329.7,0,3234.1
102,BM,BM-52,Pune,615.8 615.8,615.8,615.8,8224.3 13905.7 0,22130.0,0,22130.0,559.2 1090.6 0,1649.8,1512.6 248.1 0,1760.7,2071.8,1338.7,0,3410.5
103,BM,BM-53,Pune,1484.1 1484.1,1484.1,1484.1,0 13472.9 0,13472.9,10567,24040.0,0 1856.1 0,1856.1,113.8 24.5 0,138.2,113.8,1880.6,0,1994.4
104,BM,BM-54,Pune,2715.7 2715.7,2715.7,2715.7,0 13092.4 0,13092.4,15058,28150.0,0 4118.9 0,4118.9,1.1 15.0 0,16.1,1.1,4133.9,0,4135.0
105,BM,BM-55,Pune,615.8 615.8,615.8,615.8,870.3 12510.2 0,13380.5,10770,24150.0,59.2 803.1 0,862.3,404.8 117.9 0,522.6,463.9,921.0,0,1385.0
106,BM,BM-56,Pune,2715.7 2715.7,2715.7,2715.7,0 9478.0 0,9478.0,11342,20820.0,0 2385.5 0,2385.5,66.9 92.9 0,159.9,66.9,2478.4,0,2545.3
107,BM,BM-57,Pune,929.1 929.1,929.1,929.1,0 13034.0 0,13034.0,20916,33950.0,0 1224.2 0,1224.2,145.5 328.4 0,473.9,145.5,1552.6,0,1698.0
108,BM,BM-58,Pune,572.4 572.4,572.4,572.4,0 32620.0 0,32620.0,0,32620.0,0 1941.9 0,1941.9,19.5 11515.9 0,11535.4,19.5,13457.8,0,13477.3
109,BM,BM-59,Pune,572.4 572.4,572.4,572.4,0 23430.0 0,23430.0,0,23430.0,0 1657.0 0,1657.0,7.7 806.8 0,814.4,7.7,2463.8,0,2471.5
110,BM,BM-6,Pune,760.8 760.8,760.8,760.8,6391.9 7179.7 0,13571.6,1508,15080.0,505.8 681.1 0,1186.8,1078.1 149.2 0,1227.4,1583.9,830.3,0,2414.2
111,BM,BM-6 A,Osmanabad,837.4 837.4,0,837.4,198.0 4698.0 0,4896.0,584,5480.0,20.5 487.1 0,507.6,2.8 146.9 0,149.7,23.3,634.0,0,657.3
112,BM,BM-60,Pune,472.6 472.6,472.6,472.6,0 24620.0 0,24620.0,0,24620.0,0 1210.1 0,1210.1,100.6 2045.8 0,2146.4,100.6,3255.9,0,3356.5
113,BM,BM-61,Pune,464.2 464.2,464.2,464.2,8462.6 15882.9 0,24345.4,2995,27340.0,484.9 879.1 0,1364.0,2640.6 360.9 0,3001.4,3125.5,1239.9,0,4365.4
114,BM,BM-62,Solapur,0 614.6,0,614.6,0 21701.0 0,21701.0,0,21701.0,0 892.5 0,892.5,11.7 328.8 0,340.5,11.7,1221.2,0,1232.9
115,BM,BM-63,Solapur,0 614.6,0,614.6,0 24983.0 0,24983.0,0,24983.0,0 1908.1 0,1908.1,16.9 460.9 0,477.8,16.9,2369.0,0,2385.9
116,BM,BM-64,Solapur,0 614.6,0,614.6,0 23013.0 0,23013.0,0,23013.0,0 1757.7 0,1757.7,9.8 240.0 0,249.9,9.8,1997.7,0,2007.5
117,BM,BM-65,Solapur,0 614.6,0,614.6,0 17307.0 0,17307.0,0,17307.0,0 1321.8 0,1321.8,10.7 252.3 0,263.0,10.7,1574.1,0,1584.8
118,BM,BM-66,Pune,467.9 467.9,467.9,467.9,16525.7 1444.3 0,17970.0,0,17970.0,821.3 86.1 0,907.5,3966.2 29.7 0,3995.8,4787.5,115.8,0,4903.3
119,BM,BM-67,Pune,467.9 467.9,467.9,467.9,10086.8 11963.2 0,22050.0,0,22050.0,501.3 594.6 0,1095.9,4098.9 192.1 0,4291.0,4600.2,786.7,0,5386.9
120,BM,BM-68,Pune,467.9 467.9,467.9,467.9,9732.4 11427.6 0,21160.0,0,21160.0,483.7 568.0 0,1051.7,1266.7 300.8 0,1567.5,1750.4,868.8,0,2619.1
121,BM,BM-69,Pune,472.6 472.6,472.6,472.6,6429.8 24818.0 2182.2,33430.0,0,33430.0,316.0 1443.6 107.3,1866.8,1664.0 989.8 26.1,2680.0,1980.0,2433.4,133.4,4546.8
122,BM,BM-7,Osmanabad,898.8 898.8,0,898.8,1863.0 27497.0 0,29360.0,3336,32696.0,206.5 3048.4 0,3255.0,52.0 1781.0 0,1833.0,258.5,4829.4,0,5087.9
123,BM,BM-7,Pune,760.8 760.8,760.8,760.8,5598.0 6620.6 0,12218.6,3801,16020.0,354.8 628.0 0,982.9,1217.3 411.5 0,1628.8,1572.1,1039.6,0,2611.7
124,BM,BM-70,Pune,472.6 472.6,472.6,472.6,3372.6 21817.5 0,25190.0,0,25190.0,196.2 1269.0 0,1465.2,583.9 876.3 0,1460.2,780.1,2145.3,0,2925.4
125,BM,BM-71,Pune,929.1 929.1,929.1,929.1,0 10157.6 0,10157.6,18662,28820.0,0 851.6 0,851.6,8.9 26.5 0,35.3,8.9,878.0,0,886.9
126,BM,BM-72,Pune,572.4 572.4,572.4,572.4,327.4 16440.7 0,16768.2,13192,29960.0,19.5 978.7 0,998.2,260.2 538.7 0,798.9,279.7,1517.4,0,1797.1
127,BM,BM-73,Pune,572.4 572.4,572.4,572.4,1465.2 19094.8 0,20560.0,0,20560.0,87.2 1136.7 0,1223.9,3629.2 533.2 0,4162.5,3716.5,1669.9,0,5386.4
128,BM,BM-74,Pune,472.6 472.6,472.6,472.6,6196.4 12250.5 553.2,19000.0,0,19000.0,304.6 602.1 27.2,933.9,1656.2 4167.4 23.3,5846.9,1960.8,4769.5,50.5,6780.8
129,BM,BM-75,Pune,472.6 472.6,472.6,472.6,13364.6 11698.6 2126.8,27190.0,0,27190.0,656.9 680.5 104.5,1441.9,7314.6 257.1 81.2,7652.9,7971.4,937.6,185.8,9094.8
130,BM,BM-76,Pune,467.9 467.9,467.9,467.9,14786.1 18233.5 830.4,33850.0,0,33850.0,734.9 1087.5 49.5,1871.9,7959.5 699.8 278.6,8937.9,8694.3,1787.2,328.1,10809.7
131,BM,BM-77,Pune,467.9 467.9,467.9,467.9,12809.4 7471.4 769.3,21050.0,0,21050.0,636.6 371.3 38.2,1046.2,2482.4 453.2 78.2,3013.8,3119.0,824.5,116.5,4060.0
132,BM,BM-78,Pune,467.9 467.9,467.9,467.9,36280.6 1079.4 0,37360.0,0,37360.0,1803.2 53.7 0,1856.8,1274.5 15.2 0,1289.7,3077.6,68.9,0,3146.5
133,BM,BM-79,Solapur,661.7 614.6,0,617.6,1756.0 25924.0 0,27680.0,0,27680.0,113.0 1980.0 0,2092.9,585.0 653.3 0,1238.3,698.0,2633.2,0,3331.2
134,BM,BM-8,Pune,760.8 760.8,760.8,760.8,1166.4 19673.6 0,20840.0,0,20840.0,92.3 1761.1 0,1853.4,548.8 484.6 0,1033.4,641.1,2245.7,0,2886.8
135,BM,BM-8 A,Osmanabad,898.8 898.8,0,898.8,217.0 6286.0 0,6503.0,190,6693.0,24.1 696.9 0,721.0,5.3 181.6 0,186.9,29.3,878.5,0,907.8
136,BM,BM-80,Solapur,661.7 661.7,0,661.7,1518.0 24792.0 0,26310.0,0,26310.0,124.8 2038.4 0,2163.2,364.3 807.9 0,1172.2,489.1,2846.3,0,3335.4
137,BM,BM-81,Pune,929.1 929.1,929.1,929.1,1137.6 13225.9 0,14363.5,21997,36360.0,95.4 1108.8 0,1204.1,390.6 49.6 0,440.2,486.0,1158.4,0,1644.4
138,BM,BM-81,Satara,0 516.0,0,516.0,0 3510.0 0,3510.0,352,3862.0,0 155.1 0,155.1,0 70.0 0,70.0,0,225.1,0,225.1
139,BM,BM-82,Satara,516.0 516.0,0,516.0,568.0 28316.0 0,28884.0,4578,33462.0,25.1 1787.8 0,1812.9,260.4 846.6 0,1107.0,285.5,2634.5,0,2920.0
140,BM,BM-83,Satara,473.0 473.0,0,473.0,518.0 21082.0 0,21600.0,2560,24160.0,25.5 940.9 0,966.4,2982.8 410.3 0,3393.2,3008.3,1351.2,0,4359.6
