S.no,Basin,Watershed,District,Rainfall (mm),,,Total Geographical Area (ha),,,,Ground Water Recharge (ham),,,,,,,
"",,,,,,,Recharge Worthy Area (ha),,Hilly Area,Total,Rainfall Recharge,,Recharge from other sorces,,Total,,,
"",,,,C NC,PQ,Total,C NC PQ,Total,,,C NC PQ,Total,C NC PQ,Total,C,NC,PQ,Total
1,WF_1,Andhrei,Mumbai Sub,0 2438.2,0,2438.2,0 6916.0 0,6916.0,0,6916.0,0 1501.9 0,1501.9,0 0.0 0,0,0,1501.9,0,1501.9
2,BM,BM-1,Osmanabad,837.4 837.4,0,837.4,1322.0 30478.0 0,31800.0,2409,34209.0,115.1 3159.8 0,3274.9,613.9 744.9 0,1358.8,729.0,3904.7,0,4633.7
3,BM,BM-1,Pune,760.8 760.8,760.8,760.8,0 9157.0 0,9157.0,3923,13080.0,0 868.6 0,868.6,0 358.6 0,358.6,0,1227.2,0,1227.2
4,BM,BM-1,Ahmednagar,597.0 597.0,597.0,597.0,0 6780.0 0,6780.0,1197,7977.0,0 265.0 0,265.0,0 38.1 0,38.1,0,303.1,0,303.1
5,BM,BM-10,Osmanabad,898.8 898.8,0,898.8,639.0 9778.0 0,10417.0,502,10919.0,70.8 1084.0 0,1154.9,11.6 259.3 0,270.9,82.4,1343.4,0,1425.8
6,BM,BM-10,Pune,713.6 713.6,713.6,713.6,0 10074.4 0,10074.4,7296,17370.0,0 969.0 0,969.0,0 56.2 0,56.2,0,1025.2,0,1025.2
7,BM,BM-100,Satara,552.8 552.8,0,552.8,795.0 34479.0 0,35274.0,1840,37114.0,45.7 2329.6 0,2375.3,251.7 648.6 0,900.3,297.4,2978.2,0,3275.6
8,BM,BM-101,Satara,0 552.8,0,552.8,0 35459.0 0,35459.0,4520,39979.0,0 2395.9 0,2395.9,247.4 1590.7 0,1838.2,247.4,3986.6,0,4234.0
9,BM,BM-102,Satara,0 552.8,0,552.8,0 27011.0 0,27011.0,1960,28971.0,0 1825.1 0,1825.1,0 782.4 0,782.4,0,2607.4,0,2607.4
10,BM,BM-103,Satara,0 552.8,0,552.8,0 19359.0 0,19359.0,2360,21719.0,0 1308.0 0,1308.0,0 463.9 0,463.9,0,1771.9,0,1771.9
11,BM,BM-103,Sangli,0 441.2,0,441.2,0 9158.0 0,9158.0,0,9158.0,0 481.2 0,481.2,0 356.8 0,356.8,0,838.0,0,838.0
12,BM,BM-104,Satara,0 552.8,0,552.8,0 16323.0 0,16323.0,500,16823.0,0 1102.9 0,1102.9,1080.3 578.5 0,1658.8,1080.3,1681.4,0,2761.7
13,BM,BM-104,Sangli,441.2 441.2,0,441.2,2401.0 23374.0 0,25775.0,0,25775.0,110.2 1135.5 0,1245.7,649.9 1246.7 0,1896.6,760.1,2382.2,0,3142.3
14,BM,BM-105,Solapur,0 547.6,0,547.6,0 16270.0 0,16270.0,0,16270.0,0 1094.9 0,1094.9,142.5 383.1 0,525.6,142.5,1478.0,0,1620.5
15,BM,BM-105,Sangli,0 441.2,0,441.2,0 3137.0 0,3137.0,0,3137.0,0 164.8 0,164.8,0 136.1 0,136.1,0,300.9,0,300.9
16,BM,BM-106,Solapur,0 547.6,0,547.6,0 28420.0 0,28420.0,0,28420.0,0 1912.5 0,1912.5,0 562.0 0,562.0,0,2474.5,0,2474.5
17,BM,BM-107,Solapur,698.1 698.1,0,698.1,10865.0 36220.0 0,47085.0,0,47085.0,788.8 2629.7 0,3418.5,551.7 769.1 0,1320.8,1340.5,3398.8,0,4739.3
