0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
70,BM,BM-28,"Ahmed
nagar","1972
.8",0.0,0,"1972.
8","1775
.5",0.0,0,"1775.
5",60.6,,,60.6,0.0,,,0,"947.
8",,,947.8,"1008
.3",,,"1008.
3",60.6,0.0,0,60.6,"767.
1",0.0,0,767.1,"56.
8",,,"56.
8",safe,,,safe
71,BM,BM-29,"Ahmed
nagar","1037
.9","1670.
2",0,"2708.
2","986.
0","1586.
7",0,"2572.
8",10.2,42.3,,52.6,0.0,0,,0,"1538
.8","1448.
3",,"2987.
1","1549
.1","1490.
6",,"3039.
7",10.2,42.3,0,52.6,0,96.1,0,96.1,"15
7.1","93.
9",,"11
8.1","over_ex
ploited",critical,,"over_ex
ploited"
72,BM,BM-3,Pune,"871.
7","1723.
5",0,"2595.
2","828.
1","1637.
4",0,"2465.
4",10.8,70.0,,80.9,0.0,0,,0,"312.
7","1290.
0",,"1602.
7","323.
5","1360.
0",,"1683.
5",10.8,70.0,0,80.9,"504.
6",277.3,0,781.9,"39.
1","83.
1",,"68.
3",safe,"semi_cri
tical",,safe
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
73,BM,BM-3,"Osman
abad","399.
5","2006.
2",0,"2405.
8","379.
6","1905.
9",0,"2285.
5",19.4,48.5,,67.8,0.0,0,,0,"233.
5",766.8,,"1000.
4","252.
9",815.3,,"1068.
2",19.4,48.5,0,67.8,"126.
6","1090.
7",0,"1217.
3","66.
6","42.
8",,"46.
7",safe,safe,,safe
74,BM,BM-30,"Ahmed
nagar","291.
7","1334.
9",0,"1626.
5","277.
1","1268.
1",0,"1545.
2",11.1,35.3,,46.4,0.0,0,,0,"349.
7",806.6,,"1156.
3","360.
8",841.9,,"1202.
7",11.1,35.3,0,46.4,0,426.2,0,426.2,"13
0.2","66.
4",,"77.
8","over_ex
ploited",safe,,"semi_cri
tical"
75,BM,BM-31,"Ahmed
nagar",0,"2018.
2",0,"2018.
2",0,"1917.
3",0,"1917.
3",,52.0,,52.0,,0,,0,,"1253.
7",,"1253.
7",,"1305.
7",,"1305.
7",0,52.0,0,52.0,0,611.6,0,611.6,,"68.
1",,"68.
1",,safe,,safe
76,BM,BM-32,"Ahmed
nagar",0,"2382.
2",0,"2382.
2",0,"2263.
1",0,"2263.
1",,33.6,,33.6,,0,,0,,"1513.
1",,"1513.
1",,"1546.
7",,"1546.
7",0,33.6,0,33.6,0,716.4,0,716.4,,"68.
3",,"68.
3",,safe,,safe
77,BM,BM-33,"Ahmed
nagar","396.
6","1636.
4","52
7","2560.
4","376.
8","1554.
5","501.
0","2432.
4",23.0,34.7,0.0,57.7,0.0,0,0,0,"382.
1",853.0,"453
.7","1688.
7","405.
1",887.7,"453
.7","1746.
4",23.0,34.7,0,57.7,0,666.8,47.4,666.8,"10
7.5","57.
1","90.
5","66.
9","over_ex
ploited",safe,critical,safe
78,BM,BM-34,Pune,"1772
.7",0.0,0,"1772.
7","1684
.1",0.0,0,"1684.
1",18.3,,,18.3,0.0,,,0,"1451
.9",,,"1451.
9","1470
.2",,,"1470.
2",18.3,0.0,0,18.3,"213.
9",0.0,0,213.9,"87.
3",,,"87.
3","semi_cri
tical",,,"semi_cri
tical"
79,BM,BM-35,Pune,"1927
.3",828.5,0,"2755.
8","1830
.9",787.1,0,"2618.
0","162.
1",12.3,,"174.
5",0.0,0,,0,"1594
.1",381.5,,"1975.
6","1756
.2",393.8,,"2150.
0","162.
1",12.3,0,"174.
5",74.7,393.3,0,467.9,"95.
9","50.
0",,"82.
1",critical,safe,,"semi_cri
tical"
80,BM,BM-36,Pune,"418.
9","1671.
3",0,"2090.
2","377.
0","1587.
7",0,"1964.
7",,43.0,,43.0,,0,,0,,"1420.
4",,"1420.
4",,"1463.
4",,"1463.
4",0,43.0,0,43.0,"377.
0",124.3,0,501.3,,"92.
2",,"74.
5",,critical,,"semi_cri
tical"
81,BM,BM-37,Pune,"224.
4","1211.
9",0,"1436.
3","202.
0","1151.
3",0,"1353.
2",,41.4,,41.4,,0,,0,,436.1,,436.1,,477.5,,477.5,0,41.4,0,41.4,"202.
0",673.8,0,875.7,,"41.
5",,"35.
3",,safe,,safe
82,BM,BM-38,Pune,"178.
3",833.2,0,"1011.
5","169.
4",791.5,0,960.9,10.6,33.4,,44.0,0.0,0,,0,16.0,53.5,,69.5,26.6,86.8,,113.5,10.6,33.4,0,44.0,"142.
8",704.7,0,847.5,"15.
7","11.
0",,"11.
8",safe,safe,,safe
83,BM,BM-39,Pune,0,"1428.
4",0,"1428.
4",0,"1357.
0",0,"1357.
0",,"138.
9",,"138.
9",,0,,0,,282.0,,282.0,,420.9,,420.9,0,"138.
9",0,"138.
9",0,936.1,0,936.1,,"31.
0",,"31.
0",,safe,,safe
84,BM,BM-4,Pune,"400.
2","1647.
7",0,"2048.
0","380.
2","1565.
4",0,"1945.
6",22.8,49.3,,72.0,0.0,0,,0,"297.
3","1507.
1",,"1804.
4","320.
1","1556.
4",,"1876.
5",22.8,49.3,0,72.0,60.1,9.0,0,69.1,"84.
2","99.
4",,"96.
4","semi_cri
tical",critical,,critical
85,BM,BM-4 A,"Osman
abad","145.
5",713.2,0,858.6,"138.
2",677.5,0,815.7,12.3,22.5,,34.8,0.0,0,,0,98.6,335.2,,433.8,"110.
9",357.7,,468.6,12.3,22.5,0,34.8,27.3,319.8,0,347.1,"80.
2","52.
8",,"57.
5","semi_cri
tical",safe,,safe
86,BM,BM-40,Pune,0,"1094.
0",0,"1094.
0",0,"1039.
3",0,"1039.
3",,47.0,,47.0,,0,,0,,115.6,,115.6,,162.6,,162.6,0,47.0,0,47.0,0,876.7,0,876.7,,"15.
6",,"15.
6",,safe,,safe
87,BM,BM-41,Pune,"634.
3",775.8,0,"1410.
0","602.
5",737.0,0,"1339.
5",26.1,52.4,,78.5,0.0,0,,0,"106.
2",173.9,,280.1,"132.
3",226.3,,358.7,26.1,52.4,0,78.5,"470.
2",510.6,0,980.9,"22.
0","30.
7",,"26.
8",safe,safe,,safe
88,BM,BM-42,Pune,0,"1146.
0",0,"1146.
0",0,"1088.
7",0,"1088.
7",,43.1,,43.1,,0,,0,,99.7,,99.7,,142.8,,142.8,0,43.1,0,43.1,0,945.9,0,945.9,,"13.
1",,"13.
1",,safe,,safe
89,BM,BM-43,Pune,"867.
8","1190.
9",0,"2058.
6","781.
0","1131.
3",0,"1912.
3",17.4,95.6,,"113.
1",0.0,0,,0,"144.
4",101.5,,246.0,"161.
8",197.2,,359.0,17.4,95.6,0,"113.
1","619.
1",934.2,0,"1553.
3","20.
7","17.
4",,"18.
8",safe,safe,,safe
90,BM,BM-44,Pune,"247.
8","1054.
6",0,"1302.
4","223.
0","1001.
8",0,"1224.
9",,97.0,,97.0,,0,,0,,155.4,,155.4,,252.4,,252.4,0,97.1,0,97.1,"223.
0",749.4,0,972.4,,"25.
2",,"20.
6",,safe,,safe
91,BM,BM-45,Pune,"194.
9","1941.
1",0,"2136.
0","175.
4","1844.
1",0,"2019.
4",,"630.
4",,"630.
4",,0,,0,,471.0,,471.0,,"1101.
4",,"1101.
4",0,"630.
4",0,"630.
4","175.
4",742.7,0,918.0,,"59.
7",,"54.
5",,safe,,safe
92,BM,BM-46,Pune,"1418
.7","2807.
4",0,"4226.
1","1276
.8","2667.
0",0,"3943.
8",,"222.
5",,"222.
5",,0,,0,,"2015.
1",,"2015.
1",,"2237.
6",,"2237.
6",0,"222.
5",0,"222.
5","1276
.8",429.4,0,"1706.
2",,"83.
9",,"56.
7",,"semi_cri
tical",,safe
93,BM,BM-47,"Ahmed
nagar",0,"3179.
7",0,"3179.
7",0,"3020.
7",0,"3020.
7",,46.2,,46.2,,0,,0,,"1967.
5",,"1967.
5",,"2013.
6",,"2013.
6",0,46.2,0,46.2,0,"1007.
1",0,"1007.
1",,"66.
7",,"66.
7",,safe,,safe
94,BM,BM-47,"Solapu
r",0,412.2,0,412.2,0,391.6,0,391.6,,15.0,,15.0,,0,,0,,212.5,,212.5,,227.5,,227.5,0,15.0,0,15.0,0,164.1,0,164.1,,"58.
1",,"58.
1",,safe,,safe
95,BM,BM-48,Pune,"4408
.0",99.2,"44
7","4953.
7","3967
.2",94.2,"401.
9","4463.
3",39.6,7.8,"75.
6","122.
9",0.0,0,0,0,"2065
.0",249.3,"287
.4","2601.
8","2104
.6",257.1,"363
.0","2724.
7",39.6,7.8,76,47.3,"1862
.6",0.0,38.9,"1862.
6","53.
0","27
2.8","90.
3","58.
1",safe,"over_ex
ploited",critical,safe
96,BM,BM-49,Pune,"2515
.3","1134.
4","26
2","3911.
8","2263
.8","1077.
6","249.
0","3590.
4",97.1,49.9,"10.
5","157.
5",0.0,0,0,0,"1886
.2",890.1,"138
.9","2915.
1","1983
.2",940.1,"149
.4","3072.
7",97.1,49.9,11,"147.
0","280.
6",137.6,99.6,418.1,"87.
6","87.
2","60.
0","87.
5","semi_cri
tical","semi_cri
tical",safe,"semi_cri
tical"
97,BM,BM-5,Pune,"643.
1",600.8,0,"1243.
8","578.
8",570.7,0,"1149.
5",31.4,15.5,,46.9,0.0,0,,0,"295.
0",670.1,,965.1,"326.
4",685.6,,"1012.
0",31.4,15.5,0,46.9,"252.
4",0.0,0,252.4,"56.
4","12
0.1",,"88.
0",safe,"over_ex
ploited",,"semi_cri
tical"
98,BM,BM-5,"Ahmed
nagar","923.
5",794.5,0,"1718.
0","877.
3",754.8,0,"1632.
1",56.4,60.6,,"117.
0",0.0,0,,0,"142.
6",282.6,,425.2,"199.
0",343.2,,542.2,56.4,60.6,0,"117.
0","678.
3",411.6,0,"1089.
9","22.
7","45.
5",,"33.
2",safe,safe,,safe
99,BM,BM-5,"Osman
abad","104.
5","1709.
8",0,"1814.
2",99.3,"1624.
3",0,"1723.
5",14.3,36.3,,50.6,0.0,0,,0,73.7,794.0,,867.7,88.0,830.3,,918.4,14.3,36.3,0,50.6,11.2,793.9,0,805.2,"88.
7","51.
1",,"53.
3","semi_cri
tical",safe,,safe
"10
0",BM,BM-50,Pune,"2664
.7",764.5,"31
6","3745.
1","2531
.5",688.0,"300.
1","3519.
7",38.9,40.5,9.0,88.5,0.0,0,0,0,"1482
.9",843.0,"225
.1","2551.
0","1521
.8",883.5,"234
.1","2639.
4",38.9,40.5,9,79.5,"1009
.7",0.0,66.1,"1009.
7","60.
1","12
8.4","78.
0","74.
7",safe,"over_ex
ploited","semi_cri
tical","semi_cri
tical"
"10
1",BM,BM-51,Pune,"1904
.3","1329.
7",0,"3234.
1","1809
.1","1263.
2",0,"3072.
4","155.
0",36.8,,"191.
8",0.0,0,,0,"1759
.7",727.4,,"2487.
2","1914
.8",764.2,,"2679.
0","155.
0",36.8,0,"191.
8",0,499.0,0,499.0,"10
5.8","60.
5",,"87.
2","over_ex
ploited",safe,,"semi_cri
tical"
"10
2",BM,BM-52,Pune,"2071
.8","1338.
7",0,"3410.
5","1864
.6","1271.
8",0,"3136.
4",63.5,"119.
8",,"183.
3",0.0,0,,0,"735.
3",794.5,,"1529.
8","798.
8",914.3,,"1713.
1",63.5,"119.
8",0,"183.
3","1065
.8",357.5,0,"1423.
3","42.
8","71.
9",,"54.
6",safe,"semi_cri
tical",,safe
"10
3",BM,BM-53,Pune,"113.
8","1880.
6",0,"1994.
4","102.
4","1786.
6",0,"1889.
0",,"106.
9",,"106.
9",,0,,0,,97.9,,97.9,,204.8,,204.8,0,"106.
9",0,"106.
9","102.
4","1581.
8",0,"1684.
2",,"11.
5",,"10.
8",,safe,,safe
"10
4",BM,BM-54,Pune,1.1,"4133.
9",0,"4135.
0",1.0,"3720.
5",0,"3721.
5",,29.8,,29.8,,0,,0,,10.8,,10.8,,40.6,,40.6,0,29.8,0,29.8,1.0,"3680.
0",0,"3680.
9",,1.1,,1.1,,safe,,safe
"10
5",BM,BM-55,Pune,"463.
9",921.0,0,"1385.
0","417.
5",875.0,0,"1292.
5","134.
1","158.
0",,"292.
1",0.0,0,,0,20.4,290.7,,311.1,"154.
5",448.7,,603.2,"134.
1","158.
0",0,"292.
1","263.
1",426.3,0,689.4,"37.
0","51.
3",,"46.
7",safe,safe,,safe
"10
6",BM,BM-56,Pune,66.9,"2478.
4",0,"2545.
3",60.3,"2354.
5",0,"2414.
7",,45.4,,45.4,,0,,0,,69.0,,69.0,,114.4,,114.4,0,45.4,0,45.4,60.3,"2240.
1",0,"2300.
3",,4.9,,4.7,,safe,,safe
"10
7",BM,BM-57,Pune,"145.
5","1552.
6",0,"1698.
0","130.
9","1475.
0",0,"1605.
9",,74.5,,74.5,,0,,0,,"1313.
7",,"1313.
7",,"1388.
2",,"1388.
2",0,74.5,0,74.5,"130.
9",86.8,0,217.7,,"94.
1",,"86.
4",,critical,,"semi_cri
tical"
"10
8",BM,BM-58,Pune,19.5,"1345
7.8",0,"1347
7.3",17.6,"1211
2.0",0,"1212
9.5",,"112.
1",,"112.
1",,0,,0,,"2878.
1",,"2878.
1",,"2990.
2",,"2990.
2",0,"112.
1",0,"112.
1",17.6,"9121.
8",0,"9139.
3",,"24.
7",,"24.
7",,safe,,safe
"10
9",BM,BM-59,Pune,7.7,"2463.
8",0,"2471.
5",6.9,"2340.
6",0,"2347.
5",,94.7,,94.7,,0,,0,,"3187.
6",,"3187.
6",,"3282.
3",,"3282.
3",0,94.7,0,94.7,6.9,0.0,0,6.9,,"14
0.2",,"13
9.8",,"over_ex
ploited",,"over_ex
ploited"
"11
0",BM,BM-6,Pune,"1583
.9",830.3,0,"2414.
2","1425
.5",788.8,0,"2214.
3",26.2,24.2,,50.4,0.0,0,,0,"1297
.3",596.9,,"1894.
2","1323
.5",621.1,,"1944.
6",26.3,24.2,0,50.4,"102.
0",167.7,0,269.7,"92.
8","78.
7",,"87.
8",critical,"semi_cri
tical",,"semi_cri
tical"
"S.
No","BAS
IN","WATER
SHED","Water
shed / 
Distric
t","Annual Ground water 
Recharge (ham)",,,,"Annual Extractable Ground 
water Resource (ham)",,,,Ground Water Extraction for all uses (ha.m),,,,,,,,,,,,,,,,"Allocation of Ground 
Water Resource for 
Domestic Utilisation for 
projected year 2025 
(ham)",,,,"Net Annual Ground Water 
Availability for Future Use 
(ham)",,,,"Stage of Ground 
Water Extraction 
(%)",,,,Categorization of Assessment Unit,,,
,,,,,,,,,,,,Domestic,,,,Industrial,,,,Irrigation,,,,C,NC,PQ,Total,,,,,,,,,,,,,,,,
,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,P Q,"Tot
al",C,NC,PQ,Total,,,,,C,NC,PQ,Total,C,NC,PQ,Total,C,NC,PQ,"To
tal",C,NC,PQ,Total
"11
1",BM,BM-6 A,"Osman
abad",23.3,634.0,0,657.3,22.1,602.3,0,624.4,4.2,12.5,,16.7,0.0,0,,0,11.1,282.3,,293.3,15.3,294.7,,310.0,4.2,12.5,0,16.7,6.9,307.6,0,314.4,"69.
0","48.
9",,"49.
6",safe,safe,,safe
"11
2",BM,BM-60,Pune,"100.
6","3255.
9",0,"3356.
5",90.5,"2930.
3",0,"3020.
9",,75.7,,75.7,,0,,0,,"1766.
4",,"1766.
4",,"1842.
2",,"1842.
2",0,75.7,0,75.7,90.5,"1088.
2",0,"1178.
7",,"62.
9",,"61.
0",,safe,,safe
"11
3",BM,BM-61,Pune,"3125
.5","1239.
9",0,"4365.
4","2969
.2","1178.
0",0,"4147.
1",26.0,21.8,,47.8,0.0,0,,0,"1231
.0","1120.
4",,"2351.
5","1257
.1","1142.
2",,"2399.
3",26.0,21.8,0,47.8,"1712
.1",35.7,0,"1747.
9","42.
3","97.
0",,"57.
9",safe,critical,,safe
"11
4",BM,BM-62,"Solapu
r",11.7,"1221.
2",0,"1232.
9",10.5,"1160.
2",0,"1170.
7",,44.5,,44.5,,0,,0,,953.1,,953.1,,997.6,,997.6,0,44.5,0,44.5,10.5,162.6,0,173.1,,"86.
0",,"85.
2",,"semi_cri
tical",,"semi_cri
tical"
"11
5",BM,BM-63,"Solapu
r",16.9,"2369.
0",0,"2385.
9",15.2,"2250.
6",0,"2265.
8",,48.5,,48.5,,0,,0,,"1389.
8",,"1389.
8",,"1438.
3",,"1438.
3",0,48.5,0,48.5,15.2,812.2,0,827.4,,"63.
9",,"63.
5",,safe,,safe
"11
6",BM,BM-64,"Solapu
r",9.8,"1997.
7",0,"2007.
5",8.9,"1897.
8",0,"1906.
6",,45.2,,45.2,,0,,0,,772.9,,772.9,,818.0,,818.0,0,45.2,0,45.2,8.9,"1079.
8",0,"1088.
6",,"43.
1",,"42.
9",,safe,,safe
"11
7",BM,BM-65,"Solapu
r",10.7,"1574.
1",0,"1584.
8",9.6,"1495.
4",0,"1505.
1",,52.3,,52.3,,0,,0,,779.4,,779.4,,831.8,,831.8,0,52.3,0,52.3,9.6,663.7,0,673.3,,"55.
6",,"55.
3",,safe,,safe
"11
8",BM,BM-66,Pune,"4787
.5",115.8,0,"4903.
3","4308
.7",110.0,0,"4418.
7","172.
0",18.4,,"190.
4",0.0,0,,0,"1323
.3",118.6,,"1441.
9","1495
.4",137.0,,"1632.
3","172.
0",18.4,0,"190.
4","2813
.4",0.0,0,"2813.
4","34.
7","12
4.5",,"36.
9",safe,"over_ex
ploited",,safe
"11
9",BM,BM-67,Pune,"4600
.2",786.7,0,"5386.
9","4140
.2",708.0,0,"4848.
2","219.
8",0.3,,"220.
0",0.0,0,,0,"1021
.7",765.1,,"1786.
8","1241
.4",765.4,,"2006.
8","219.
8",0.3,0,"220.
0","2898
.7",0.0,0,"2898.
7","30.
0","10
8.1",,"41.
4",safe,"over_ex
ploited",,safe
"12
0",BM,BM-68,Pune,"1750
.3",868.8,0,"2619.
1","1575
.3",781.9,0,"2357.
2",19.9,7.9,,27.8,0.0,0,,0,"1287
.1",624.5,,"1911.
6","1307
.1",632.4,,"1939.
4",19.9,7.9,0,27.8,"268.
2",149.5,0,417.8,"83.
0","80.
9",,"82.
3","semi_cri
tical","semi_cri
tical",,"semi_cri
tical"
"12
1",BM,BM-69,Pune,"1980
.0","2433.
4","13
3","4546.
8","1782
.0","2311.
7","120.
1","4213.
8",57.3,39.2,5.4,"101.
9",0.0,0,0,0,"3114
.8","1573.
3","104
.5","4792.
6","3172
.1","1612.
5","109
.9","4894.
5",57.3,39.2,5,96.5,0,699.3,10.1,699.3,"17
8.0","69.
8","91.
6","11
6.9","over_ex
ploited",safe,critical,"over_ex
ploited"
"12
2",BM,BM-7,"Osman
abad","258.
5","4829.
4",0,"5087.
9","245.
6","4588.
0",0,"4833.
5",11.3,68.8,,80.1,0.0,0,,0,"207.
8","2097.
4",,"2305.
2","219.
1","2166.
2",,"2385.
3",11.3,68.8,0,80.1,26.5,"2421.
8",0,"2448.
3","89.
2","47.
2",,"49.
3","semi_cri
tical",safe,,safe
"12
3",BM,BM-7,Pune,"1572
.1","1039.
6",0,"2611.
7","1493
.5",987.6,0,"2481.
1",6.4,66.1,,72.5,0.0,0,,0,"729.
0","1646.
1",,"2375.
1","735.
4","1712.
2",,"2447.
6",6.4,66.1,0,72.5,"758.
1",0.0,0,758.1,"49.
2","17
3.4",,"98.
7",safe,"over_ex
ploited",,critical
"12
4",BM,BM-70,Pune,"780.
1","2145.
3",0,"2925.
4","741.
1","2038.
1",0,"2779.
1",50.2,78.9,,"129.
1",0.0,0,,0,"557.
5","1487.
8",,"2045.
3","607.
7","1566.
7",,"2174.
3",50.2,78.9,0,"129.
1","133.
4",471.4,0,604.8,"82.
0","76.
9",,"78.
2","semi_cri
tical","semi_cri
tical",,"semi_cri
tical"
"12
5",BM,BM-71,Pune,8.9,878.0,0,886.9,8.0,834.1,0,842.1,,96.4,,96.4,,0,,0,,105.9,,105.9,,202.4,,202.4,0,96.5,0,96.5,8.0,631.8,0,639.7,,"24.
3",,"24.
0",,safe,,safe
"12
6",BM,BM-72,Pune,"279.
7","1517.
4",0,"1797.
1","251.
7","1365.
7",0,"1617.
4",17.1,68.4,,85.5,0.0,0,,0,62.6,968.6,,"1031.
2",79.7,"1037.
0",,"1116.
7",17.1,68.4,0,85.5,"172.
1",328.7,0,500.7,"31.
7","75.
9",,"69.
0",safe,"semi_cri
tical",,safe
"12
7",BM,BM-73,Pune,"3716
.5","1670.
0",0,"5386.
4","3344
.8","1503.
0",0,"4847.
8",11.4,29.1,,40.5,0.0,0,,0,"1626
.2","1615.
4",,"3241.
6","1637
.6","1644.
5",,"3282.
1",11.4,29.1,0,40.5,"1707
.2",0.0,0,"1707.
2","49.
0","10
9.4",,"67.
7",safe,"over_ex
ploited",,safe
"12
8",BM,BM-74,Pune,"1960
.8","4769.
5",51,"6780.
8","1764
.7","4292.
5",45.5,"6102.
7",24.2,44.9,4.4,73.5,0.0,0,0,0,"438.
0","1433.
2","93.
4","1964.
6","462.
2","1478.
2","97.
7","2038.
1",24.2,44.9,4,69.1,"1302
.5","2814.
4",0,"4116.
8","26.
2","34.
4","21
4.9","32.
0",safe,safe,"over_ex
ploited",safe
"12
9",BM,BM-75,Pune,"7971
.4",937.6,"18
6","9094.
8","7174
.3",890.7,"167.
2","8232.
2",74.4,38.8,5.2,"118.
4",0.0,0,0,0,"4262
.8",723.3,"324
.9","5311.
0","4337
.2",762.1,"330
.0","5429.
4",74.4,38.8,5,"113.
2","2837
.1",128.5,0,"2965.
6","60.
5","85.
6","19
7.4","63.
2",safe,"semi_cri
tical","over_ex
ploited",safe
"13
0",BM,BM-76,Pune,"8694
.4","1787.
3","32
8","1080
9.7","7824
.9","1697.
9","311.
7","9834.
5",74.2,37.7,"34.
6","146.
5",0.0,0,0,0,"4931
.9","2197.
3","111
4.4","8243.
5","5006
.1","2234.
9","114
9.1","8390.
0",74.2,37.7,35,"111.
9","2818
.9",0.0,0,"2818.
9","64.
0","13
1.6","36
8.6","76.
0",safe,"over_ex
ploited","over_ex
ploited","semi_cri
tical"
"13
1",BM,BM-77,Pune,"3119
.0",824.5,"11
6","4060.
0","2807
.1",742.1,"104.
8","3654.
0","363.
7",32.4,0.0,"396.
1",0.0,0,0,0,"2618
.4","1398.
3","312
.9","4329.
7","2982
.2","1430.
7","312
.9","4725.
7","363.
7",32.4,0,"396.
1",0,0.0,0,0.0,"10
6.2","19
2.8","29
8.5","12
4.3","over_ex
ploited","over_ex
ploited","over_ex
ploited","over_ex
ploited"
"13
2",BM,BM-78,Pune,"3077
.6",68.9,0,"3146.
5","2769
.9",62.0,0,"2831.
9","245.
4",6.1,,"251.
5",0.0,0,,0,"1941
.8",60.9,,"2002.
8","2187
.2",67.0,,"2254.
2","245.
4",6.1,0,"251.
5","582.
7",0.0,0,582.7,"79.
0","10
8.1",,"79.
6","semi_cri
tical","over_ex
ploited",,"semi_cri
tical"
"13
3",BM,BM-79,"Solapu
r","698.
0","2633.
2",0,"3331.
2","663.
1","2501.
6",0,"3164.
7",30.5,34.1,,64.6,0.0,0,,0,"233.
4","2344.
9",,"2578.
2","263.
9","2379.
0",,"2642.
9",30.5,34.1,0,64.6,"399.
2",122.6,0,521.8,"39.
8","95.
1",,"83.
5",safe,critical,,"semi_cri
tical"
"13
4",BM,BM-8,Pune,"641.
1","2245.
7",0,"2886.
8","577.
0","2133.
4",0,"2710.
4",24.5,56.9,,81.4,0.0,0,,0,"504.
7","1426.
5",,"1931.
1","529.
1","1483.
3",,"2012.
5",24.5,56.9,0,81.4,47.8,650.1,0,697.9,"91.
7","69.
5",,"74.
2",critical,safe,,"semi_cri
tical"
"13
5",BM,BM-8 A,"Osman
abad",29.3,878.5,0,907.8,27.9,834.6,0,862.4,3.4,22.1,,25.4,0.0,0,,0,21.1,400.9,,421.9,24.4,422.9,,447.4,3.4,22.1,0,25.4,3.4,411.6,0,415.1,"87.
7","50.
7",,"51.
9","semi_cri
tical",safe,,safe
"13
6",BM,BM-80,"Solapu
r","489.
1","2846.
3",0,"3335.
4","464.
6","2704.
0",0,"3168.
6",22.1,83.7,,"105.
8",0.1,0,,0.1,"337.
2","2188.
5",,"2525.
7","359.
5","2272.
2",,"2631.
7",22.1,83.7,0,"105.
8","105.
2",431.8,0,537.0,"77.
4","84.
0",,"83.
1","semi_cri
tical","semi_cri
tical",,"semi_cri
tical"
"13
7",BM,BM-81,Pune,"486.
0","1158.
4",0,"1644.
4","461.
7","1100.
5",0,"1562.
2",22.1,"114.
5",,"136.
7",0.0,0,,0,13.9,195.9,,209.8,36.1,310.5,,346.5,22.1,"114.
5",0,"136.
7","425.
6",790.0,0,"1215.
6",7.8,"28.
2",,"22.
2",safe,safe,,safe
"13
8",BM,BM-81,Satara,0,225.1,0,225.1,0,213.8,0,213.8,,22.6,,22.6,,0,,0,,87.8,,87.8,,110.4,,110.4,0,22.6,0,22.6,0,103.4,0,103.4,,"51.
6",,"51.
6",,safe,,safe
"13
9",BM,BM-82,Satara,"285.
5","2634.
5",0,"2920.
0","271.
2","2502.
7",0,"2774.
0",0.0,"104.
1",,"104.
1",0.0,0,,0,"175.
1","1516.
6",,"1691.
7","175.
1","1620.
7",,"1795.
8",0,"104.
1",0,"104.
1",96.1,882.1,0,978.2,"64.
6","64.
8",,"64.
7",safe,safe,,safe
"14
0",BM,BM-83,Satara,"3008
.3","1351.
3",0,"4359.
6","2707
.5","1283.
7",0,"3991.
2",21.9,"104.
5",,"126.
4",0.0,0,,0,"1248
.9",973.1,,"2222.
0","1270
.8","1077.
5",,"2348.
3",21.9,"104.
5",0,"126.
4","1436
.7",206.2,0,"1642.
9","46.
9","83.
9",,"58.
8",safe,"semi_cri
tical",,safe
"14
1",BM,BM-84,Satara,"1495
.3","2026.
4",0,"3521.
7","1420
.5","1925.
1",0,"3345.
6",41.4,"109.
5",,"151.
0",0.0,0,,0,"733.
3","1405.
3",,"2138.
6","774.
7","1514.
8",,"2289.
5",41.4,"109.
5",0,"151.
0","645.
8",410.3,0,"1056.
1","54.
5","78.
7",,"68.
4",safe,"semi_cri
tical",,safe
"14
2",BM,BM-85,Satara,"1016
.6","2904.
9",0,"3921.
4","965.
7","2759.
6",0,"3725.
4",26.1,68.3,,94.4,0.0,0,,0,"570.
9","2080.
2",,"2651.
1","597.
0","2148.
5",,"2745.
5",26.1,68.3,0,94.4,"368.
7",611.1,0,979.8,"61.
8","77.
9",,"73.
7",safe,"semi_cri
tical",,"semi_cri
tical"
"14
3",BM,BM-86,Satara,"2694
.4","1877.
1",0,"4571.
4","2559
.7","1783.
2",0,"4342.
9",38.5,"150.
9",,"189.
4",0.0,0,,0,"1471
.4","1359.
5",,"2831.
0","1509
.9","1510.
5",,"3020.
4",38.5,"150.
9",0,"189.
4","1049
.8",272.7,0,"1322.
5","59.
0","84.
7",,"69.
5",safe,"semi_cri
tical",,safe
